#id: 474
#name: E.coli - Whole organism, EmPAI (Arike,J_Proteomics,2012)
#score: 4.35
#weight: 50%
#description: abundance based on MAPPED_BY_AUTHORS, emPAI, from<a href="http://www.mcponline.org/content/11/10/933.abstract" target="_blank">Arike, J_Proteomics,2012</a><br/><b>Interaction consistency score</b>: 4.35&nbsp<b>Coverage</b>: 98
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 98
#publication_year: 2012
#filename: Ecoli_emPAI_arike_2012.txt
#
internal_id	string_external_id	abundance
6883820	511145.b3213	253
6883819	511145.b3212	191
6883818	511145.b3211	0
6883045	511145.b2349	0
6883290	511145.b2610	251
6883044	511145.b2347	0
6883041	511145.b2344	54.2
6883042	511145.b2345	0
6883292	511145.b2614	1084
6883293	511145.b2615	0
6883037	511145.b2340	0
6883038	511145.b2341	34.2
6882871	511145.b2166	0
6882872	511145.b2167	33.2
6882869	511145.b2164	0
6882870	511145.b2165	0
6882867	511145.b2162	0
6882868	511145.b2163	0
6882865	511145.b2160	0
6882866	511145.b2161	0
6882873	511145.b2168	119
6882874	511145.b2169	82.0
6883607	511145.b2980	0
6882630	511145.b1889	0
6883608	511145.b2982	0
6883609	511145.b2983	0
6883610	511145.b2984	0
6883611	511145.b2985	0
6883612	511145.b2986	0
6883613	511145.b2987	0
6882621	511145.b1880	0
6884500	511145.b3960	173
6884503	511145.b3963	51.3
6884502	511145.b3962	257
6884505	511145.b3965	29.3
6884504	511145.b3964	0
6884507	511145.b3967	0
6884506	511145.b3966	0
6883137	511145.b2452	0
6883138	511145.b2453	0
6883135	511145.b2450	137
6882503	511145.b1762	0
6883189	511145.b2504	0
6883190	511145.b2505	0
6883191	511145.b2506	0
6883192	511145.b2507	468
6883185	511145.b2500	84.0
6883186	511145.b2501	45.9
6883187	511145.b2502	22.5
6883188	511145.b2503	0
6883141	511145.b2456	0
6883193	511145.b2508	558
6883194	511145.b2509	0
6883142	511145.b2457	0
6881871	511145.b1080	0
6881872	511145.b1081	0
6881873	511145.b1082	80.1
6881874	511145.b1083	148
6881875	511145.b1084	352
6881876	511145.b1085	0
6881877	511145.b1086	32.7
6881878	511145.b1087	123
6881879	511145.b1088	63.0
6881880	511145.b1089	5383
6883140	511145.b2455	0
6882820	511145.b2109	0
6883664	511145.b3045	0
6884595	511145.b4069	2357
6884594	511145.b4068	434
6881510	511145.b0698	0
6883934	511145.b3341	10524
6882274	511145.b1521	0
6883415	511145.b2760	0
6883416	511145.b2761	0
6883417	511145.b2762	251
6883418	511145.b2763	538
6883419	511145.b2764	359
6883420	511145.b2765	0
6883421	511145.b2766	0
6883422	511145.b2767	0
6883423	511145.b2768	0
6883424	511145.b2769	0
6882024	511145.b1246	34.2
6884665	511145.b4143	5350
6884841	511145.b4345	0
6884842	511145.b4346	0
6884843	511145.b4347	0
6882046	511145.b1268	0
6882047	511145.b1269	36.6
6882042	511145.b1264	44.4
6882043	511145.b1265	0
6882044	511145.b1266	0
6882045	511145.b1267	353
6882038	511145.b1260	629
6882039	511145.b1261	377
6882040	511145.b1262	161
6882041	511145.b1263	66.9
6884587	511145.b4061	0
6884586	511145.b4060	0
6882025	511145.b1247	0
6884589	511145.b4063	0
6884588	511145.b4062	0
6884591	511145.b4065	0
6884590	511145.b4064	0
6882607	511145.b1866	504
6882388	511145.b1643	0
6882385	511145.b1640	0
6882606	511145.b1865	0
6882603	511145.b1862	0
6882604	511145.b1863	0
6882601	511145.b1860	0
6882390	511145.b1645	0
6881644	511145.b0843	0
6881643	511145.b0842	0
6882393	511145.b1648	0
6884592	511145.b4066	0
6881648	511145.b0847	0
6881647	511145.b0846	0
6881646	511145.b0845	0
6882610	511145.b1869	0
6884643	511145.b4120	0
6884644	511145.b4121	0
6884645	511145.b4122	0
6884646	511145.b4123	0
6884647	511145.b4124	0
6884648	511145.b4125	0
6884649	511145.b4126	0
6884650	511145.b4127	0
6884651	511145.b4128	0
6880991	511145.b0114	2373
6880994	511145.b0117	0
6880993	511145.b0116	2112
6880988	511145.b0111	0
6880987	511145.b0110	0
6880990	511145.b0113	0
6880989	511145.b0112	51.8
6882227	511145.b1468	0
6882228	511145.b1469	0
6882221	511145.b1462	92.3
6882222	511145.b1463	0
6882219	511145.b1460	0
6882220	511145.b1461	148
6882225	511145.b1466	0
6882226	511145.b1467	0
6882223	511145.b1464	0
6882224	511145.b1465	0
6881419	511145.b0591	0
6881418	511145.b0590	0
6881421	511145.b0593	0
6881420	511145.b0592	0
6881423	511145.b0595	0
6881422	511145.b0594	0
6881425	511145.b0597	0
6881424	511145.b0596	0
6881427	511145.b0599	29.8
6881426	511145.b0598	152
6881429	511145.b0601	0
6881428	511145.b0600	0
6881431	511145.b0603	0
6881430	511145.b0602	0
6881433	511145.b0605	7266
6881432	511145.b0604	44.0
6881435	511145.b0607	2201
6881434	511145.b0606	211
6881436	511145.b0608	88.4
6882434	511145.b1691	0
6880911	511145.b0029	32.7
6880910	511145.b0028	286
6882267	511145.b1514	0
6882268	511145.b1515	0
6882265	511145.b1512	37.6
6882266	511145.b1513	0
6882264	511145.b1511	22.5
6884541	511145.b4014	4100
6880902	511145.b0020	0
6880905	511145.b0023	1130
6884544	511145.b4017	0
6880907	511145.b0025	0
6880906	511145.b0024	0
6884539	511145.b4012	0
6884540	511145.b4013	133
6884619	511145.b4094	0
6884291	511145.b3719	0
6884621	511145.b4096	0
6881733	511145.b0933	0
6881732	511145.b0932	263
6881731	511145.b0931	171
6881730	511145.b0930	802
6881737	511145.b0937	0
6883049	511145.b2354	0
6881735	511145.b0935	0
6881734	511145.b0934	0
6884616	511145.b4090	0
6881739	511145.b0939	0
6881738	511145.b0938	0
6881729	511145.b0929	671
6883851	511145.b3247	0
6884617	511145.b4092	0
6881670	511145.b0869	0
6884284	511145.b3712	0
6884618	511145.b4093	0
6882019	511145.b1241	2241
6882195	511145.b1432	0
6881185	511145.b0335	0
6881184	511145.b0334	345
6881187	511145.b0337	165
6881186	511145.b0336	0
6881182	511145.b0331	178
6881181	511145.b0330	0
6881183	511145.b0333	127
6883849	511145.b3243	0
6881189	511145.b0339	0
6881188	511145.b0338	0
6883222	511145.b2537	0
6882017	511145.b1237	12632
6883941	511145.b3348	162
6883824	511145.b3218	0
6884327	511145.b3755	0
6882016	511145.b1236	397
6883648	511145.b3028	121
6883649	511145.b3029	252
6882392	511145.b1647	452
6883640	511145.b3020	18.1
6883641	511145.b3021	0
6883642	511145.b3022	0
6883643	511145.b3023	0
6883644	511145.b3024	991
6883645	511145.b3025	0
6883646	511145.b3026	0
6883647	511145.b3027	0
6884170	511145.b3590	19.0
6884171	511145.b3591	0
6884172	511145.b3592	189
6884173	511145.b3593	0
6884174	511145.b3594	0
6884175	511145.b3596	0
6884176	511145.b3597	0
6884177	511145.b3598	0
6884178	511145.b3599	170
6882014	511145.b1234	0
6881675	511145.b0874	0
6883727	511145.b3114	0
6883728	511145.b3115	0
6883729	511145.b3116	0
6883730	511145.b3117	0
6883725	511145.b3110	0
6883726	511145.b3113	0
6883731	511145.b3118	37.1
6883732	511145.b3119	0
6883371	511145.b2716	0
