oln	contact_density
b0452	7.20701754386
b0459	7.20879120879
b0460	7.94444444444
b0462	7.79310344828
b0463	6.6
b0464	7.15942028986
b0469	7.38461538462
b0471	6.27659574468
b0473	6.8253968254
b0474	8.45794392523
b0476	7.82911392405
b0480	7.92233009709
b0481	7.11392405063
b0483	6.66666666667
b0485	8.27184466019
b0487	6.50819672131
b0492	7.24113475177
b0494	7.74301675978
b0505	6.54545454545
b0507	7.96621621622
b0512	8.10722610723
b0515	6.99173553719
b0516	7.98540145985
b0517	7.68513119534
b0518	7.49440715884
b0522	7.55492957746
b0523	7.07975460123
b0524	9.07272727273
b0525	9.01219512195
b0526	7.85492227979
b0528	7.3164556962
b0529	7.42160278746
b0543	0.26
b0545	7.21212121212
b0549	6.86419753086
b0550	6.75
b0555	7.22424242424
b0565	6.80134680135
b0572	7.13286713287
b0573	6.42105263158
b0574	6.49068322981
b0575	7.77109602328
b0578	7.02777777778
b0581	7.84090909091
b0584	7.33823529412
b0586	7.45873320537
b0592	8.36301369863
b0593	7.83113456464
b0594	7.64203612479
b0595	7.45519713262
b0596	7.32075471698
b0597	7.28467153285
b0600	7.75916230366
b0604	7.15283842795
b0605	6.90476190476
b0606	8.98656429942
b0610	7.25925925926
b0611	7.47755102041
b0622	6.57647058824
b0631	8.96551724138
b0632	7.56056338028
b0636	7.17647058824
b0638	7.66502463054
b0639	7.18309859155
b0640	7.15384615385
b0641	6.32
b0642	7.63882063882
b0651	7.80132450331
b0657	8.04771371769
b0659	7.15789473684
b0674	8.34136546185
b0675	7.712
b0677	7.8530183727
b0678	7.7969924812
b0680	7.64461247637
b0684	9.44318181818
b0686	7.78039215686
b0687	6.64197530864
b0694	7.23766816143
b0696	6.44919786096
b0697	7.44213649852
b0698	8.21903052065
b0708	7.83795309168
b0709	7.89016018307
b0710	7.68421052632
b0711	8.35
b0712	9.48666666667
b0713	7.20869565217
b0714	7.7233201581
b0720	7.08920187793
b0721	6.4132231405
b0722	6.81904761905
b0723	8.31632653061
b0724	6.93277310924
b0726	7.79310344828
b0728	7.69072164948
b0729	8.14634146341
b0736	6.97674418605
b0740	7.50611246944
b0754	7.74344023324
b0755	7.83805668016
b0758	7.33717579251
b0759	8.0
b0761	6.98449612403
b0762	4.78260869565
b0763	7.74891774892
b0767	8.05405405405
b0772	7.55667506297
b0773	7.22012578616
b0774	7.83177570093
b0775	7.48717948718
b0776	7.72323759791
b0778	7.34821428571
b0782	7.47058823529
b0784	6.51851851852
b0785	6.85915492958
b0798	8.71428571429
b0800	7.74838709677
b0801	7.68802228412
b0803	5.56818181818
b0811	7.59821428571
b0812	7.33333333333
b0814	6.51351351351
b0817	6.99212598425
b0821	7.77667493797
b0825	7.4
b0826	7.45833333333
b0827	7.39454094293
b0828	8.25573770492
b0830	7.60985626283
b0837	8.01149425287
b0839	7.66666666667
b0842	8.41450777202
b0846	6.99408284024
b0849	8.87058823529
b0851	6.95833333333
b0852	7.25423728814
b0854	7.82404692082
b0867	7.1673151751
b0870	7.80060422961
b0871	7.72679509632
b0875	7.90557939914
b0878	6.14705882353
b0879	6.78219395866
b0881	6.82474226804
b0882	7.14488636364
b0884	8.14084507042
b0885	7.5807860262
b0888	7.35443037975
b0889	5.21568627451
b0891	7.02824858757
b0897	7.40196078431
b0902	7.34959349593
b0903	8.52700922266
b0905	7.85567010309
b0907	7.56666666667
b0908	8.27634660422
b0910	7.27358490566
b0912	5.42553191489
b0914	0.188811188811
b0918	7.65853658537
b0923	6.8932038835
b0928	7.68865435356
b0929	7.25663716814
b0932	8.1568627451
b0935	7.68695652174
b0936	7.27272727273
b0937	7.29479768786
b0945	7.85714285714
b0946	7.37572254335
b0948	7.57249626308
b0953	6.07547169811
b0954	7.43373493976
b0956	6.08053691275
b0963	7.12162162162
b0967	7.74683544304
b0968	7.89130434783
b0972	7.17870722433
b0973	8.07573149742
b0976	8.13636363636
b0980	7.73170731707
b0986	6.94358974359
