#Table S10- Log2 ratio (Gal versus Glu) of all genes on the b-FLEX at 20generations of growth.		
Probe ID	Log2 Ratio (20Gen)	gene
YMR283C::BFLEX	-0.836	RIT1
YGR237C::BFLEX	-0.836	YGR237C
YPL041C::BFLEX	-0.836	YPL041C
YMR081C::BFLEX	-0.834	ISF1
YHL028W::BFLEX	-0.83	WSC4
YBR208C::BFLEX	-0.829	DUR1,2
YDR081C::BFLEX	-0.829	PDC2
YJL061W::BFLEX	-0.827	NUP82
YJL123C::BFLEX	-0.825	YJL123C
YOR153W::BFLEX	-0.824	PDR5
YGR244C::BFLEX	-0.821	LSC2
YDR538W::BFLEX	-0.821	PAD1
YPR157W::BFLEX	-0.82	YPR157W
YFL007W::BFLEX	-0.818	BLM10
YNL101W::BFLEX	-0.817	AVT4
YHR076W::BFLEX	-0.815	PTC7
YDR132C::BFLEX	-0.81	YDR132C
YHR126C::BFLEX	-0.81	YHR126C
YML132W::BFLEX	-0.808	COS3
YCR091W::BFLEX	-0.807	KIN82
YOR299W::BFLEX	-0.804	BUD7
YDR277C::BFLEX	-0.8	MTH1
YER037W::BFLEX	-0.799	PHM8
YJR032W::BFLEX	-0.798	CPR7
YHR005C-A::BFLEX	-0.797	MRS11
YBR114W::BFLEX	-0.796	RAD16
YMR280C::BFLEX	-0.795	CAT8
YBR095C::BFLEX	-0.795	RXT2
YLR244C::BFLEX	-0.794	MAP1
YDL143W::BFLEX	-0.79	CCT4
YLR268W::BFLEX	-0.79	SEC22
YJL138C::BFLEX	-0.789	TIF2
YNL316C::BFLEX	-0.788	PHA2
YJR110W::BFLEX	-0.788	YMR1
YMR323W::BFLEX	-0.787	ERR3
YKL010C::BFLEX	-0.785	UFD4
YOR291W::BFLEX	-0.784	YOR291W
YOR142W::BFLEX	-0.783	LSC1
YMR196W::BFLEX	-0.783	YMR196W
YLR108C::BFLEX	-0.779	YLR108C
YLR299W::BFLEX	-0.778	ECM38
YOR339C::BFLEX	-0.778	UBC11
YML037C::BFLEX	-0.778	YML037C
YLR398C::BFLEX	-0.777	SKI2
YNL118C::BFLEX	-0.776	DCP2
YHR016C::BFLEX	-0.776	YSC84
YOR178C::BFLEX	-0.775	GAC1
YNL207W::BFLEX	-0.775	RIO2
YNR067C::BFLEX	-0.773	DSE4
YGR158C::BFLEX	-0.772	MTR3
YBL037W::BFLEX	-0.771	APL3
YBL022C::BFLEX	-0.771	PIM1
YHL007C::BFLEX	-0.771	STE20
YOR315W::BFLEX	-0.77	SFG1
YML113W::BFLEX	-0.769	DAT1
