#id: 358
#name: S.cerevisiae - Whole organism, Immunodetection of tagged proteins, normalized data (Ghaemmaghami,Nature,2003)
#score: 4.71
#weight: 80%
#description: abundance based on normalized data, immunodetection of tagged proteins, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/14562106" target="_blank">Ghaemmaghami,Nature,2003</a><br/><b>Interaction consistency score</b>: 4.71&nbsp<b>Coverage</b>: 58
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 58
#publication_year: 2003
#filename: Ghaemmaghami_et_al_yeast_data.txt
#
internal_id	string_external_id	abundance
629926	4932.YDR096W	9.6
633086	4932.YLR197W	300
634987	4932.YPL046C	12.0
630251	4932.YDR390C	418
630989	4932.YGL099W	431
630779	4932.YFL030W	7.52
631937	4932.YIL119C	29.7
633216	4932.YLR315W	36.2
635140	4932.YPL193W	5.75
633901	4932.YNL005C	50.8
630162	4932.YDR314C	1.75
632196	4932.YJL144W	3.3
633123	4932.YLR231C	67.9
630843	4932.YFR021W	34.7
634032	4932.YNL129W	32.4
632424	4932.YJR139C	1086
632466	4932.YKL016C	151
629192	4932.YBR133C	26.3
630905	4932.YGL017W	45.2
629222	4932.YBR162C	273
630004	4932.YDR170C	81.5
630127	4932.YDR279W	51.9
632184	4932.YJL133W	30.3
629679	4932.YDL113C	7.95
629009	4932.YBL084C	13.2
629976	4932.YDR143C	3.82
629748	4932.YDL176W	7.52
629165	4932.YBR111C	163
632581	4932.YKL121W	11.2
632715	4932.YKR027W	56.3
630798	4932.YFL047W	38.8
631604	4932.YHR053C	708
630120	4932.YDR272W	305
633286	4932.YLR380W	213
632515	4932.YKL061W	27.5
632325	4932.YJR042W	176
633546	4932.YMR012W	376
635105	4932.YPL160W	3502
633640	4932.YMR098C	54.0
631265	4932.YGR100W	17.0
633919	4932.YNL023C	13.1
630202	4932.YDR349C	3.3
632006	4932.YIR011C	47.1
632331	4932.YJR048W	163
630057	4932.YDR214W	309
631944	4932.YIL126W	44.1
633090	4932.YLR201C	76.0
633193	4932.YLR295C	136
629774	4932.YDL201W	58.4
630185	4932.YDR332W	3.82
631736	4932.YHR168W	4.2
632395	4932.YJR112W	46.0
634584	4932.YOR064C	19.1
634684	4932.YOR159C	12.3
634568	4932.YOR048C	13.8
629188	4932.YBR130C	22.4
630822	4932.YFR003C	24.1
634208	4932.YNL297C	53.5
631843	4932.YIL033C	94.9
634909	4932.YOR368W	4.2
631039	4932.YGL148W	51.3
635076	4932.YPL133C	17.7
630027	4932.YDR189W	128
633354	4932.YLR441C	2052
634395	4932.YOL056W	82.8
629294	4932.YBR225W	13.8
630880	4932.YFR052W	220
633866	4932.YMR302C	117
629354	4932.YBR282W	50.0
630265	4932.YDR404C	142
631695	4932.YHR132C	10.4
631253	4932.YGR088W	7.09
633624	4932.YMR083W	259
630032	4932.YDR194C	228
634387	4932.YOL049W	76.2
630379	4932.YDR515W	19.1
629838	4932.YDR014W	16.0
632314	4932.YJR031C	65.2
633803	4932.YMR244C-A	16.0
634284	4932.YNR030W	78.9
631513	4932.YHL029C	278
